userId,jobID,Clicks,job_category
1,31,3,Finance
7,31,71,Finance
31,31,39,Finance
32,31,4,Finance
36,31,2,Finance
39,31,73,Finance
73,31,18,Finance
88,31,41,Finance
96,31,95,Finance
110,31,57,Finance
111,31,90,Finance
150,31,60,Finance
161,31,4,Finance
165,31,65,Finance
186,31,77,Finance
242,31,50,Finance
254,31,2,Finance
288,31,85,Finance
310,31,29,Finance
311,31,61,Finance
325,31,64,Finance
338,31,99,Finance
341,31,34,Finance
386,31,55,Finance
394,31,86,Finance
452,31,41,Finance
457,31,89,Finance
461,31,89,Finance
468,31,51,Finance
485,31,81,Finance
487,31,41,Finance
496,31,46,Finance
511,31,90,Finance
516,31,68,Finance
525,31,68,Finance
590,31,6,Finance
596,31,0,Finance
601,31,20,Finance
607,31,57,Finance
619,31,11,Finance
639,31,72,Finance
641,31,69,Finance
1,1029,66,HR
19,1029,53,HR
35,1029,82,HR
61,1029,92,HR
73,1029,48,HR
99,1029,23,HR
102,1029,75,HR
128,1029,78,HR
175,1029,28,HR
185,1029,91,HR
188,1029,38,HR
213,1029,9,HR
214,1029,83,HR
268,1029,52,HR
294,1029,27,HR
303,1029,45,HR
311,1029,26,HR
363,1029,84,HR
387,1029,39,HR
420,1029,21,HR
442,1029,30,HR
452,1029,96,HR
466,1029,22,HR
468,1029,6,HR
471,1029,10,HR
472,1029,91,HR
514,1029,20,HR
518,1029,9,HR
529,1029,23,HR
530,1029,44,HR
547,1029,58,HR
551,1029,57,HR
564,1029,90,HR
575,1029,14,HR
577,1029,50,HR
582,1029,11,HR
602,1029,7,HR
603,1029,37,HR
605,1029,80,HR
607,1029,53,HR
646,1029,81,HR
665,1029,100,HR
1,1061,93,Management
19,1061,74,Management
23,1061,7,Management
30,1061,58,Management
70,1061,30,Management
73,1061,51,Management
90,1061,90,Management
102,1061,33,Management
105,1061,16,Management
119,1061,44,Management
141,1061,40,Management
150,1061,100,Management
165,1061,57,Management
212,1061,81,Management
233,1061,75,Management
252,1061,84,Management
292,1061,24,Management
306,1061,15,Management
318,1061,72,Management
325,1061,63,Management
380,1061,5,Management
452,1061,7,Management
461,1061,30,Management
507,1061,32,Management
509,1061,40,Management
518,1061,99,Management
534,1061,30,Management
537,1061,8,Management
584,1061,11,Management
608,1061,85,Management
641,1061,8,Management
647,1061,35,Management
665,1061,88,Management
1,1129,0,Management
7,1129,84,Management
19,1129,90,Management
21,1129,76,Management
30,1129,87,Management
34,1129,6,Management
41,1129,80,Management
49,1129,56,Management
57,1129,77,Management
66,1129,94,Management
73,1129,45,Management
77,1129,83,Management
103,1129,58,Management
105,1129,17,Management
118,1129,4,Management
119,1129,61,Management
155,1129,74,Management
177,1129,92,Management
195,1129,3,Management
248,1129,57,Management
276,1129,7,Management
299,1129,51,Management
311,1129,0,Management
325,1129,3,Management
346,1129,15,Management
351,1129,94,Management
353,1129,55,Management
358,1129,24,Management
380,1129,71,Management
390,1129,22,Management
423,1129,16,Management
461,1129,72,Management
463,1129,98,Management
468,1129,32,Management
472,1129,51,Management
514,1129,87,Management
516,1129,81,Management
518,1129,86,Management
522,1129,16,Management
547,1129,7,Management
564,1129,67,Management
580,1129,85,Management
585,1129,71,Management
596,1129,67,Management
597,1129,50,Management
624,1129,50,Management
634,1129,56,Management
654,1129,88,Management
1,1172,77,Management
23,1172,10,Management
38,1172,50,Management
56,1172,25,Management
94,1172,94,Management
102,1172,66,Management
119,1172,82,Management
130,1172,33,Management
133,1172,45,Management
148,1172,45,Management
198,1172,50,Management
229,1172,84,Management
232,1172,60,Management
262,1172,0,Management
280,1172,10,Management
283,1172,6,Management
306,1172,29,Management
320,1172,54,Management
321,1172,45,Management
325,1172,39,Management
330,1172,47,Management
341,1172,66,Management
358,1172,57,Management
372,1172,84,Management
373,1172,41,Management
387,1172,76,Management
391,1172,96,Management
430,1172,3,Management
441,1172,55,Management
452,1172,95,Management
460,1172,99,Management
468,1172,45,Management
472,1172,2,Management
481,1172,71,Management
497,1172,25,Management
505,1172,76,Management
509,1172,12,Management
510,1172,28,Management
521,1172,43,Management
537,1172,10,Management
539,1172,72,Management
545,1172,43,Management
547,1172,73,Management
580,1172,98,Management
585,1172,63,Management
587,1172,70,Management
1,1263,30,Management
15,1263,4,Management
17,1263,60,Management
19,1263,86,Management
21,1263,24,Management
22,1263,23,Management
23,1263,60,Management
30,1263,59,Management
34,1263,92,Management
56,1263,38,Management
57,1263,87,Management
73,1263,63,Management
102,1263,17,Management
105,1263,25,Management
152,1263,81,Management
195,1263,66,Management
232,1263,97,Management
248,1263,88,Management
257,1263,46,Management
265,1263,99,Management
303,1263,47,Management
309,1263,44,Management
344,1263,50,Management
353,1263,56,Management
370,1263,2,Management
373,1263,42,Management
380,1263,42,Management
391,1263,56,Management
394,1263,61,Management
423,1263,68,Management
434,1263,22,Management
452,1263,91,Management
457,1263,75,Management
461,1263,60,Management
468,1263,62,Management
472,1263,3,Management
509,1263,96,Management
527,1263,0,Management
533,1263,54,Management
547,1263,4,Management
564,1263,1,Management
577,1263,21,Management
585,1263,92,Management
587,1263,8,Management
592,1263,23,Management
647,1263,22,Management
648,1263,73,Management
661,1263,24,Management
1,1287,38,Management
7,1287,41,Management
15,1287,57,Management
19,1287,25,Management
21,1287,79,Management
23,1287,26,Management
34,1287,29,Management
49,1287,41,Management
102,1287,31,Management
119,1287,23,Management
137,1287,96,Management
195,1287,49,Management
207,1287,47,Management
212,1287,97,Management
229,1287,1,Management
232,1287,67,Management
311,1287,15,Management
313,1287,12,Management
326,1287,13,Management
335,1287,24,Management
346,1287,68,Management
358,1287,35,Management
363,1287,57,Management
387,1287,70,Management
388,1287,56,Management
390,1287,90,Management
391,1287,52,Management
404,1287,84,Management
405,1287,53,Management
434,1287,17,Management
452,1287,24,Management
461,1287,54,Management
466,1287,94,Management
468,1287,48,Management
470,1287,97,Management
488,1287,43,Management
505,1287,83,Management
529,1287,29,Management
559,1287,72,Management
575,1287,22,Management
577,1287,35,Management
585,1287,34,Management
587,1287,9,Management
596,1287,38,Management
